ID,SMILES,mw,Group,SA
EN300-1975888,C[C@H](O)CCc1ccc(O)c(Cl)c1,200.66,Comprehensive,2.4293568868622515
EN300-1951427,Oc1ccc([C@H](O)C(F)(F)F)c(F)c1,210.13,Comprehensive,2.912649041226881
EN300-1792571,CC(C)(CO)Cc1ccc(O)c(F)c1,198.23,Comprehensive,2.3151292343407857
EN300-74929,CCC(O)c1ccc(O)cc1,152.19,Comprehensive,2.239997253370434
EN300-1945483,Oc1ccc(CC(O)C(F)(F)F)c(F)c1,224.15,Comprehensive,2.846010154220318
EN300-1825765,OCCCc1ccc(O)c(F)c1,170.18,Comprehensive,1.897366736233012
EN300-1997843,C[C@@H](O)CCc1ccc(O)cc1Cl,200.66,Comprehensive,2.538065018730382
EN300-1825990,COc1cc(O)ccc1CCCO,182.22,Comprehensive,1.9034512884703645
EN300-1931579,Oc1ccc(C(O)C(F)(F)F)cc1F,210.13,Comprehensive,2.809714425842266
EN300-74400,CC(O)c1ccc(O)cc1,138.16,Comprehensive,2.145757052979487
EN300-1975024,OCCC(F)(F)c1ccc(O)cc1,188.17,Comprehensive,2.352520629129705
EN300-1975894,C[C@H](O)Cc1ccc(O)c(Cl)c1,186.64,Comprehensive,2.453069632327196
EN300-1792982,C[C@@H](O)Cc1ccc(O)c(F)c1,170.18,Comprehensive,2.487723959250273
EN300-1847561,C[C@@H](O)Cc1cccc(O)c1,152.19,Comprehensive,2.333186484139665
EN300-80019,OCc1ccc(O)cn1,125.13,Comprehensive,2.3040396995332486
EN300-1858558,C[C@H](O)Cc1ccc(O)cc1,152.19,Comprehensive,2.1916464841396657
EN300-1975895,C[C@@H](O)Cc1ccc(O)c(Cl)c1,186.64,Comprehensive,2.453069632327196
EN300-247229,OCc1cc(F)c(O)c(F)c1,160.12,Comprehensive,2.203336145315797
EN300-1997842,C[C@H](O)CCc1ccc(O)cc1Cl,200.66,Comprehensive,2.538065018730382
EN300-103529,OCCc1cccc(O)c1,138.16,Comprehensive,1.748007278763426
EN300-1973565,OCCC(F)(F)c1ccc(O)cc1Cl,222.62,Comprehensive,2.673748361159914
EN300-2006178,OCCC(F)(F)c1ccc(O)cc1F,206.16,Comprehensive,2.716536718748271
EN300-1997408,C[C@H](O)Cc1ccc(O)cc1Cl,186.64,Comprehensive,2.522940786173349
EN300-1801181,C[C@@H](O)CCc1cccc(O)c1,166.22,Comprehensive,2.3146726043551684
EN300-1870791,OCC1(c2ccc(O)cc2)CC1,164.2,Comprehensive,2.22315834462462
EN300-1866116,COc1cc(CCCO)ccc1O,182.22,Comprehensive,1.7498282115472872
EN300-101014,OCCCc1ccc(O)cc1,152.19,Comprehensive,1.608538797835692
EN300-1822430,CC(O)Cc1ccc(O)cc1F,170.18,Comprehensive,2.559641747711812
EN300-1853422,COc1cc(CCC(C)O)ccc1O,196.24,Comprehensive,2.3134532922390267
EN300-1851178,C[C@H](O)c1ccc(O)cc1F,156.15,Comprehensive,2.5650153435561105
EN300-1822064,C[C@H](O)Cc1ccc(O)cc1F,170.18,Comprehensive,2.559641747711812
EN300-1637381,OCCCc1cccc(O)c1,152.19,Comprehensive,1.7358430161979754
EN300-1801229,Cc1cc(CC[C@H](C)O)cc(C)c1O,194.27,Comprehensive,2.5710963385241783
